protocol,domain_name,address,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,having_ip_address,shortening_service,https_token,abnormal_url,web_traffic,domain_registration_length,age_of_domain,dns_record,statistical_report
http,www.rankforsales.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.econnects.net,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.rankmagic.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.relevanttraffic.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.ranks.nl,consultancy/,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.ranbury.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.rugles.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.redlineseo.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.refreshweb.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.rstwebsolutions.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.reidtechnologies.ca,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.rtproservices.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.room214.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.seo-websitepromotion.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,0
http,www.rankuno.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.roadmap-placement.com,,0,0,0,1,0,0,1,1,1,1,1,1,1,0
http,www.rimmkaufman.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.rossjackson.co.uk,,0,0,0,0,2,0,0,1,1,1,1,1,1,0
http,www.raspberrymarketing.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.ranksubmit.com,,0,0,0,0,0,0,1,1,1,1,1,1,1,0
http,www.rankhigh.biz,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.top-search-engine-ranking.co.uk,,0,0,0,1,2,0,0,1,1,1,1,1,1,1
http,www.rapidblue.co.uk,,0,0,0,0,2,0,0,1,1,1,1,1,1,1
